time_from,time_to,region_from,region_to,Nnet_true
790,800,6,6,13
790,800,7,7,25
790,800,8,8,5
790,800,9,9,12
790,800,10,10,9
800,810,1,1,16
800,810,1,2,1
800,810,2,2,24
800,810,3,3,35
800,810,4,4,15
800,810,5,3,1
800,810,5,5,7
800,810,6,6,13
800,810,7,5,1
800,810,7,7,24
800,810,8,8,5
800,810,9,9,12
800,810,10,7,1
800,810,10,10,8
810,820,1,1,16
810,820,2,1,2
810,820,2,2,23
810,820,3,3,35
810,820,3,5,1
810,820,4,4,15
810,820,5,5,8
810,820,6,4,1
810,820,6,6,12
810,820,7,7,25
810,820,8,8,5
810,820,9,9,12
810,820,10,7,1
810,820,10,10,7
820,830,1,1,18
820,830,2,2,23
820,830,3,2,1
820,830,3,3,34
820,830,4,4,16
820,830,5,5,9
820,830,6,4,1
820,830,6,6,11
820,830,7,7,26
820,830,8,8,5
820,830,9,9,12
820,830,10,9,1
820,830,10,10,6
830,840,1,1,17
830,840,1,4,1
830,840,2,2,24
830,840,3,3,34
830,840,4,4,17
830,840,5,4,1
830,840,5,5,8
830,840,6,6,11
830,840,7,7,25
830,840,7,10,1
830,840,8,8,5
830,840,9,9,13
830,840,10,10,6
840,850,1,1,17
840,850,2,2,24
840,850,3,2,1
840,850,3,3,33
840,850,4,4,19
840,850,5,5,8
840,850,6,6,11
840,850,7,7,25
840,850,8,8,5
840,850,9,9,13
840,850,10,7,1
840,850,10,10,6
850,860,1,1,17
850,860,2,2,24
850,860,2,4,1
850,860,3,3,33
850,860,4,1,1
850,860,4,4,18
850,860,5,5,8
850,860,6,6,11
850,860,7,7,25
850,860,7,10,1
850,860,8,8,5
850,860,9,9,13
850,860,10,7,1
850,860,10,10,5
860,870,1,1,18
860,870,2,2,24
860,870,3,3,33
860,870,4,2,1
860,870,4,4,18
860,870,5,5,8
860,870,6,6,11
860,870,7,5,1
860,870,7,7,25
860,870,8,8,5
860,870,9,7,1
860,870,9,9,12
860,870,10,10,6
870,880,1,1,18
870,880,2,2,23
870,880,2,4,1
870,880,2,5,1
870,880,3,3,33
870,880,4,4,18
870,880,5,2,1
870,880,5,5,8
870,880,6,6,11
870,880,7,7,26
870,880,8,8,5
870,880,9,9,12
870,880,10,10,6
880,890,1,1,18
880,890,2,2,24
880,890,3,3,33
880,890,4,4,19
880,890,5,2,1
880,890,5,5,8
880,890,6,6,11
880,890,7,7,26
880,890,8,8,5
880,890,9,9,12
880,890,10,10,6
